date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:57	67981/67981	---M-Z	200	added ('OK')	text/css	etag:%221098d-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/cmsmasters-woo-style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/cmsmasters-woo-style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:57	10934/10934	---M-Z	200	added ('OK')	text/css	etag:%222ab6-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/cmsmasters-woo-adaptive.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/cmsmasters-woo-adaptive8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:57	8487/8487	---M-Z	200	added ('OK')	text/css	etag:%222127-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/ilightbox.css?ver=2.2.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/ilightbox3601.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:58	8083/8083	---M-Z	200	added ('OK')	text/css	etag:%221f93-5ff043c4dac3e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/ilightbox-skins/dark-skin.css?ver=2.2.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/ilightbox-skins/dark-skin3601.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:58	585123/585123	---M-Z	200	added ('OK')	text/css	etag:%228eda3-5c3b220956e93-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/cmsmasters_styles/accessories-shop.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/cmsmasters_styles/accessories-shop8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:59	35301/35301	---M-Z	200	added ('OK')	text/css	etag:%2289e5-5ff043c4c353f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/gutenberg/css/frontend-style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/gutenberg/css/frontend-style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:59	31263/31263	---M-Z	200	added ('OK')	text/css	etag:%227a1f-5ff043c4c065f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-quick-view/cmsmasters-framework/css/plugin-style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-quick-view/cmsmasters-framework/css/plugin-style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:59	5877/5877	---M-Z	200	added ('OK')	text/css	etag:%2216f5-5ff043c4c065f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-quick-view/cmsmasters-framework/css/plugin-adaptive.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-quick-view/cmsmasters-framework/css/plugin-adaptive8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:00	3755/3755	---M-Z	200	added ('OK')	text/css	etag:%22eab-5ff043c4c065f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-zoom-magnifier/cmsmasters-framework/css/plugin-style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-zoom-magnifier/cmsmasters-framework/css/plugin-style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:00	1403/1403	---M-Z	200	added ('OK')	text/css	etag:%2257b-5ff043c4c065f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-zoom-magnifier/cmsmasters-framework/css/plugin-adaptive.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-zoom-magnifier/cmsmasters-framework/css/plugin-adaptive8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
